r,mu_z,alpha_xx,alpha_zz,beta_zzz,beta_xxz
0.75,0.42791228,3.77719536,2.93565691,-0.21935277,1.52584176
0.85,0.45221647,3.91462912,3.13207636,0.01168731,1.60015399
0.95,0.47650501,4.04579584,3.35055482,0.35937807,1.64550181
1.05,0.50167322,4.17560601,3.5956189,0.84442901,1.67187394
1.15,0.52800609,4.30348841,3.8762141,1.49140956,1.68754752
1.25,0.5580984,4.43197891,4.19975514,2.32858912,1.69726488
1.35,0.58693404,4.56212602,4.53366114,3.38815551,1.70648486
1.45,0.61727277,4.694507,4.92185259,4.70039743,1.71689011
1.55,0.6485567,4.82962722,5.36119487,6.29415108,1.73329918
1.65,0.68036661,4.96718968,5.85504926,8.18917023,1.75808481
1.75,0.71230436,5.10421946,6.40772144,10.39488385,1.79558123
1.85,0.74396655,5.24484676,7.0238694,12.90020667,1.84860218
1.95,0.77493146,5.38893155,7.70834313,15.66146937,1.91724293
2.05,0.80474985,5.53430296,8.46606965,18.5954964,2.00494738
2.15,0.83293638,5.6809731,9.30197145,21.55398611,2.10930835
2.25,0.85896272,5.82805122,10.22085609,24.07621812,2.22850284
2.35,0.88225454,5.97601534,11.22719148,26.17184405,2.3592312
2.45,0.90219339,6.12309841,12.32468747,27.13453692,2.49576621
2.55,0.91812442,6.26832115,13.51561749,26.24478883,2.63155941
2.65,0.92936984,6.40402887,14.79981645,22.54463536,2.75652734
2.75,0.93524843,6.53621365,16.17319686,14.77703561,2.85844107
2.85,0.93510373,6.66752286,17.6260341,1.37830794,2.96293638
2.95,0.92833944,6.79522812,19.14048795,-19.57106402,3.10762081
3.05,0.91446631,6.91803952,20.68811681,-50.28100537,3.1852153
3.15,0.89316092,7.03447307,22.22708941,-92.99708968,3.20653342
3.25,0.86433177,7.14414364,23.70085582,-149.65950789,3.13367485
3.35,0.8281899,7.24537396,25.03911497,-220.98677081,3.00658454
3.45,0.78530342,7.33786667,26.16366475,-305.83638176,2.80924849
3.55,0.73661786,7.4211803,26.99820914,-400.38531727,2.55489958
3.65,0.68342085,7.4952677,27.48220995,-498.25492756,2.24670276
3.75,0.62724544,7.56055611,27.58247435,-591.3961431,1.89126856
3.85,0.56973152,7.61761078,27.29929672,-671.64023388,1.50223653
3.95,0.51247083,7.66722871,26.66593615,-732.34393694,1.07623629
4.05,0.4568734,7.71019251,25.74050971,-769.54858909,0.61642613
4.15,0.40407676,7.74721468,24.59560833,-782.33908567,0.13701796
4.25,0.35490489,7.77898479,23.30706478,-772.49081906,-0.34425521
4.35,0.30987171,7.80603143,21.94569576,-743.6587947,-0.80574326
4.45,0.26921611,7.82890465,20.57159914,-700.44990936,-1.22725734
4.55,0.23295404,7.84815676,19.23171617,-647.611525,-1.59697627
4.65,0.20093565,7.86430855,17.95969117,-589.45633972,-1.89933216
4.75,0.17289883,7.87782697,16.77723478,-528.79644825,-2.13629576
4.85,0.14885991,7.88921642,15.70579399,-470.58380535,-2.31221306
4.95,0.12773957,7.89885939,14.73192685,-415.02056001,-2.43337843
5.05,0.10954483,7.90714047,13.86204361,-363.32563499,-2.50902547
5.15,0.09392374,7.91434857,13.09091328,-316.15925004,-2.54976159
5.25,0.08054662,7.92073747,12.41307777,-273.77157253,-2.56384902
5.35,0.06911429,7.92651721,11.82153494,-236.12468282,-2.56074151
5.45,0.05935599,7.93184688,11.30456633,-202.99458118,-2.54831207
5.55,0.05103413,7.93685955,10.85540722,-174.0456564,-2.53382204
5.65,0.04394061,7.94166301,10.4650674,-148.89579821,-2.5237173
5.75,0.03789501,7.94635297,10.12818217,-127.13877137,-2.5249548
5.85,0.03274183,7.95099356,9.83700702,-108.38241713,-2.54424627
5.95,0.02834778,7.95563563,9.58551519,-92.25258457,-2.58908536
6.05,0.02459894,7.9603602,9.36843616,-78.41036508,-2.66798197
6.15,0.02139823,7.9652079,9.1809351,-66.55004114,-2.79157549
6.25,0.01866311,7.97023079,9.0189884,-56.4006522,-2.97279283
6.35,0.01632343,7.97545299,8.87903997,-47.72425531,-3.22772834
6.45,0.01431967,7.98093862,8.75801442,-40.31350083,-3.57624947
6.55,0.01260139,7.98670852,8.65325942,-33.9886723,-4.0418277
