a
   RHCl/A    RHpO/A   RHO/A      MRCI+Q/rotated     DW-CAS
   0.85000   0.65000  50.00000   -535.49286818   -535.08318975
   0.90000   0.65000  50.00000   -535.57670980   -535.15505780
   0.95000   0.65000  50.00000   -535.63937868   -535.22597676
   1.00000   0.65000  50.00000   -535.68281958   -535.26137851
   1.05000   0.65000  50.00000   -535.71500464   -535.29479875
   1.10000   0.65000  50.00000   -535.73683383   -535.31711914
   1.15000   0.65000  50.00000   -535.75100139   -535.33176448
   1.20000   0.65000  50.00000   -535.75926917   -535.34051830
   1.25000   0.65000  50.00000   -535.76296967   -535.34475459
   1.27413   0.65000  50.00000   -535.76343561   -535.34550759
   1.30000   0.65000  50.00000   -535.76314593   -535.34553749
   1.35000   0.65000  50.00000   -535.76067780   -535.34369453
   1.40000   0.65000  50.00000   -535.75626809   -535.33986176
   1.45000   0.65000  50.00000   -535.75044341   -535.33451583
   1.50000   0.65000  50.00000   -535.74361442   -535.33168770
   1.60000   0.65000  50.00000   -535.72624998   -535.31182494
   1.70000   0.65000  50.00000   -535.70969746   -535.29606331
   1.80000   0.65000  50.00000   -535.69330138   -535.28085599
   0.85000   0.70000  50.00000   -535.57784571   -535.15546251
   0.90000   0.70000  50.00000   -535.66214663   -535.24722532
   0.95000   0.70000  50.00000   -535.72307246   -535.30171100
   1.00000   0.70000  50.00000   -535.76786926   -535.34700702
   1.05000   0.70000  50.00000   -535.79967886   -535.37931678
   1.10000   0.70000  50.00000   -535.82150656   -535.40163692
   1.15000   0.70000  50.00000   -535.83567751   -535.41628304
   1.20000   0.70000  50.00000   -535.84394567   -535.42503685
   1.25000   0.70000  50.00000   -535.84764659   -535.42927312
   1.27413   0.70000  50.00000   -535.84811275   -535.43002612
   1.30000   0.70000  50.00000   -535.84782324   -535.43005600
   1.35000   0.70000  50.00000   -535.84535531   -535.42821305
   1.40000   0.70000  50.00000   -535.84094569   -535.42438046
   1.45000   0.70000  50.00000   -535.83512120   -535.41903508
   1.50000   0.70000  50.00000   -535.82850512   -535.41242629
   1.60000   0.70000  50.00000   -535.81134001   -535.39634256
   1.70000   0.70000  50.00000   -535.79478293   -535.38058016
   1.80000   0.70000  50.00000   -535.77838035   -535.36537205
   0.85000   0.75000  50.00000   -535.63471622   -535.21217793
   0.90000   0.75000  50.00000   -535.71825575   -535.29629183
   0.95000   0.75000  50.00000   -535.77999911   -535.37104972
   1.00000   0.75000  50.00000   -535.82474097   -535.40372286
   1.05000   0.75000  50.00000   -535.85759532   -535.44112100
   1.10000   0.75000  50.00000   -535.87838108   -535.45835314
   1.15000   0.75000  50.00000   -535.89254909   -535.47299847
   1.20000   0.75000  50.00000   -535.90081758   -535.48175227
   1.25000   0.75000  50.00000   -535.90451893   -535.48598853
   1.27413   0.75000  50.00000   -535.90498533   -535.48674151
   1.30000   0.75000  50.00000   -535.90469599   -535.48677138
   1.35000   0.75000  50.00000   -535.90222827   -535.48492845
   1.40000   0.75000  50.00000   -535.89781876   -535.48109605
   1.45000   0.75000  50.00000   -535.89199449   -535.47575121
   1.50000   0.75000  50.00000   -535.88516865   -535.46927089
   1.60000   0.75000  50.00000   -535.86851306   -535.45305744
   1.70000   0.75000  50.00000   -535.85195370   -535.43729410
   1.80000   0.75000  50.00000   -535.83554776   -535.42208509
   0.85000   0.80000  50.00000   -535.67162219   -535.24926942
   0.90000   0.80000  50.00000   -535.75527451   -535.33311714
   0.95000   0.80000  50.00000   -535.81757446   -535.39951535
   1.00000   0.80000  50.00000   -535.86173357   -535.44057955
   1.05000   0.80000  50.00000   -535.89354404   -535.47288943
   1.10000   0.80000  50.00000   -535.91537400   -535.49520981
   1.15000   0.80000  50.00000   -535.92954258   -535.50985513
   1.20000   0.80000  50.00000   -535.93781114   -535.51860894
   1.25000   0.80000  50.00000   -535.94151293   -535.52284518
   1.27413   0.80000  50.00000   -535.94197956   -535.52359815
   1.30000   0.80000  50.00000   -535.94169040   -535.52362802
   1.35000   0.80000  50.00000   -535.93922291   -535.52178511
   1.40000   0.80000  50.00000   -535.93481352   -535.51795290
   1.45000   0.80000  50.00000   -535.92898947   -535.51260864
   1.50000   0.80000  50.00000   -535.92237383   -535.50600694
   1.60000   0.80000  50.00000   -535.90573575   -535.48991437
   1.70000   0.80000  50.00000   -535.88917533   -535.47415005
   1.80000   0.80000  50.00000   -535.87276916   -535.45894012
   0.85000   0.85000  50.00000   -535.69443684   -535.27166478
   0.90000   0.85000  50.00000   -535.77800402   -535.35574734
   0.95000   0.85000  50.00000   -535.83966595   -535.41791327
   1.00000   0.85000  50.00000   -535.88510933   -535.46526779
   1.05000   0.85000  50.00000   -535.91627430   -535.49551965
   1.10000   0.85000  50.00000   -535.93810367   -535.51784003
   1.15000   0.85000  50.00000   -535.95227320   -535.53248534
   1.20000   0.85000  50.00000   -535.96054264   -535.54123913
   1.25000   0.85000  50.00000   -535.96424428   -535.54547537
   1.27413   0.85000  50.00000   -535.96471116   -535.54622834
   1.30000   0.85000  50.00000   -535.96442218   -535.54625819
   1.35000   0.85000  50.00000   -535.96195493   -535.54441531
   1.40000   0.85000  50.00000   -535.95754667   -535.54058331
   1.45000   0.85000  50.00000   -535.95172183   -535.53523967
   1.50000   0.85000  50.00000   -535.94490891   -535.52876100
   1.60000   0.85000  50.00000   -535.92956589   -535.51353152
   1.70000   0.85000  50.00000   -535.91208872   -535.49678047
   1.80000   0.85000  50.00000   -535.89568023   -535.48156963
   0.85000   0.90000  50.00000   -535.70692546   -535.28410858
   0.90000   0.90000  50.00000   -535.79049257   -535.36819108
   0.95000   0.90000  50.00000   -535.85215419   -535.43035706
   1.00000   0.90000  50.00000   -535.89695181   -535.47565359
   1.05000   0.90000  50.00000   -535.92876270   -535.50796347
   1.10000   0.90000  50.00000   -535.95059310   -535.53028385
   1.15000   0.90000  50.00000   -535.96532358   -535.55676392
   1.20000   0.90000  50.00000   -535.97303214   -535.55368293
   1.25000   0.90000  50.00000   -535.97673324   -535.55791916
   1.27413   0.90000  50.00000   -535.97720147   -535.55867211
   1.30000   0.90000  50.00000   -535.97691224   -535.55870197
   1.35000   0.90000  50.00000   -535.97444565   -535.55685912
   1.40000   0.90000  50.00000   -535.97003739   -535.55302738
   1.45000   0.90000  50.00000   -535.96421284   -535.54768442
